"","Ave","Nombre_Nido","Distancia_Trampa","Fecha Instalacion","Orientacion Trampa","Horas totales de exposicion","Vespa velutina","Vespula vulgaris","Vespula germanica","Vespula","Periodo","TCVL","TCVP","TCV","Ano"
"54","Abejero","Matadero",1000,"2020-08-13","E",204.41667,35,32,0,32,"3",0.171218915613534,0.156543008560946,0.32776192417448,2020
"55","Abejero","Matadero",1000,"2020-08-13","N",210.66667,19,25,0,25,"3",0.0901898734177216,0.118670886075949,0.208860759493671,2020
"56","Abejero","Matadero",1000,"2020-08-13","SE",204.66667,23,20,1,21,"3",0.112377850162867,0.102605863192182,0.214983713355049,2020
"57","Abejero","Navalexo",0,"2020-08-13","Nido",209.16667,56,38,0,38,"3",0.267729083665339,0.181673306772908,0.449402390438247,2020
"58","Abejero","Navalexo",500,"2020-08-13","N",209.33333,23,27,0,27,"3",0.109872611464968,0.128980891719745,0.238853503184713,2020
"59","Abejero","Navalexo",500,"2020-08-13","SE",208.91667,27,18,0,18,"3",0.129238133226964,0.086158755484643,0.215396888711607,2020
"60","Abejero","Navalexo",500,"2020-08-13","SO",209.58333,45,20,2,22,"3",0.214711729622266,0.104970178926441,0.319681908548708,2020
"61","Abejero","Navalexo",1000,"2020-08-13","NE",208.66667,23,7,0,7,"3",0.110223642172524,0.0335463258785942,0.143769968051118,2020
"62","Abejero","Navalexo",1000,"2020-08-13","NO",209.83333,23,17,1,18,"3",0.109610802223987,0.0857823669579032,0.195393169181891,2020
"63","Abejero","Navalexo",1000,"2020-08-13","S",206.75000,44,16,0,16,"3",0.212817412333736,0.0773881499395404,0.290205562273277,2020
"64","Abejero","Pedragrande",0,"2020-08-13","Nido",201.83333,11,12,0,12,"3",0.0545004128819157,0.0594549958711808,0.113955408753097,2020
"65","Abejero","Pedragrande",500,"2020-08-13","N",202.16667,89,35,1,36,"3",0.440230832646331,0.178070898598516,0.618301731244847,2020
"66","Abejero","Pedragrande",500,"2020-08-13","NO",201.33333,45,7,0,7,"3",0.223509933774835,0.0347682119205298,0.258278145695364,2020
"67","Abejero","Pedragrande",500,"2020-08-13","SE",202.91667,12,25,0,25,"3",0.0591375770020534,0.123203285420945,0.182340862422998,2020
"68","Abejero","Pedragrande",1000,"2020-08-13","NE",203.08333,12,39,0,39,"3",0.0590890439064424,0.192039392695938,0.25112843660238,2020
